Josip Hatze,Pietro Mascagni
Jiří Antonín Benda,Franz Benda
Jiří Antonín Benda,Wolfgang Amadeus Mozart
Niccolò Piccinni,Alessandro Scarlatti
Niccolò Piccinni,Antonio Sacchini
Niccolò Piccinni,Domenico Cimarosa
Niccolò Piccinni,Francesco Durante
Niccolò Piccinni,Giovanni Battista Pergolesi
Niccolò Piccinni,Giovanni Paisiello
Niccolò Piccinni,Jean-Baptiste Lully
Niccolò Piccinni,Leonardo Leo
Niccolò Piccinni,Leonardo Vinci
Niccolò Piccinni,Niccolò Jommelli
Niccolò Piccinni,Tommaso Traetta
Giles Farnaby,Edmund Rubbra
Giles Farnaby,Orlando Gibbons
Giles Farnaby,Thomas Tomkins
Johann Stamitz,Anton Fils
Johann Stamitz,Anton Stamitz
Johann Stamitz,Christian Cannabich
Johann Stamitz,Franz Ignaz Beck
Johann Stamitz,Franz Xaver Richter
Johann Stamitz,Ignaz Fränzl
Havergal Brian,Anton Bruckner
Havergal Brian,Arnold Bax
Havergal Brian,Carl Nielsen
Havergal Brian,Edward Elgar
Havergal Brian,Gustav Mahler
Havergal Brian,Johann Sebastian Bach
Havergal Brian,John Ogdon
Havergal Brian,Ralph Vaughan Williams
Havergal Brian,Richard Strauss
Havergal Brian,Richard Wagner
Havergal Brian,Robert Simpson (composer)
Havergal Brian,Wolfgang Amadeus Mozart
Yoshiaki Onishi,Arne Mellnäs
Yoshiaki Onishi,Claus-Steffen Mahnkopf
Yoshiaki Onishi,Costin Miereanu
Yoshiaki Onishi,Daniel Lentz
Yoshiaki Onishi,Fabio Vacchi
Yoshiaki Onishi,Ib Nørholm
Yoshiaki Onishi,Jan Vriend
Yoshiaki Onishi,John McGuire (composer)
Yoshiaki Onishi,Louis Andriessen
Yoshiaki Onishi,Michel van der Aa
Yoshiaki Onishi,Pauline Oliveros
Yoshiaki Onishi,Peter Schat
Yoshiaki Onishi,Richard Barrett (composer)
Yoshiaki Onishi,Régis Campo
Yoshiaki Onishi,Tristan Murail
Yoshiaki Onishi,Vinko Globokar
Yoshiaki Onishi,Yannis Kyriakides
Yoshiaki Onishi,Șerban Nichifor
Georges Auric,Albert Roussel
Georges Auric,Arthur Honegger
Georges Auric,Darius Milhaud
Georges Auric,Erik Satie
Georges Auric,Germaine Tailleferre
Rodolfo Arízaga,Juan José Castro
Rodolfo Arízaga,Manuel de Falla
Rodolfo Arízaga,Nadia Boulanger
Rodolfo Arízaga,Olivier Messiaen
Nikos Skalkottas,Aaron Copland
Nikos Skalkottas,Aldo Clementi
Nikos Skalkottas,Arnold Schoenberg
Nikos Skalkottas,Bruno Maderna
Nikos Skalkottas,Béla Bartók
Nikos Skalkottas,Charles Wuorinen
Nikos Skalkottas,Denis ApIvor
Nikos Skalkottas,Dimitri Mitropoulos
Nikos Skalkottas,Ernst Krenek
Nikos Skalkottas,Ferruccio Busoni
Nikos Skalkottas,Gottfried Michael Koenig
Nikos Skalkottas,Henri Pousseur
Nikos Skalkottas,Henryk Górecki
Nikos Skalkottas,Igor Stravinsky
Nikos Skalkottas,Jacques Calonne
Nikos Skalkottas,Jean Barraqué
Nikos Skalkottas,Josef Matthias Hauer
Nikos Skalkottas,Juan Carlos Paz
Nikos Skalkottas,Jürg Baur
Nikos Skalkottas,Karlheinz Stockhausen
Nikos Skalkottas,Krzysztof Penderecki
Nikos Skalkottas,Kurt Weill
Nikos Skalkottas,Louis Andriessen
Nikos Skalkottas,Luciano Berio
Nikos Skalkottas,Luigi Dallapiccola
Nikos Skalkottas,Luigi Nono
Nikos Skalkottas,Pierre Boulez
Nikos Skalkottas,Richard Barrett (composer)
Nikos Skalkottas,Robert Kahn (composer)
Nikos Skalkottas,Roberto Gerhard
Hugo Distler,Heinrich Schütz
Hugo Distler,Johann Nepomuk David
Hugo Distler,Wolfgang Fortner
Vytautas Bacevičius,Nikolai Tcherepnin
David Sawer,György Ligeti
David Sawer,Hector Berlioz
David Sawer,Igor Stravinsky
David Sawer,Luciano Berio
David Sawer,Mauricio Kagel
David Sawer,Osian Ellis
Berthold Goldschmidt,Alois Hába
Berthold Goldschmidt,Arnold Schoenberg
Berthold Goldschmidt,Ernst Krenek
Berthold Goldschmidt,Ferruccio Busoni
Berthold Goldschmidt,Franz Schreker
Berthold Goldschmidt,Gustav Mahler
Berthold Goldschmidt,Johann Sebastian Bach
Pablo Sorozábal,Arnold Schoenberg
Pablo Sorozábal,Dmitri Shostakovich
Pablo Sorozábal,Kurt Weill
Chañaral Ortega-Miranda,Brian Ferneyhough
Chañaral Ortega-Miranda,Jonathan Harvey (composer)
Richard Sahla,Ferdinand David (musician)
Richard Sahla,Ferruccio Busoni
Richard Sahla,Henri Marteau
Richard Sahla,Max Reger
Richard Sahla,Pablo de Sarasate
Richard Sahla,Richard Heuberger
Richard Sahla,Richard Strauss
Richard Sahla,Richard Wagner
Richard Sahla,Wilhelm Kienzl
Zakaria Paliashvili,Andria Balanchivadze
Zakaria Paliashvili,Dimitri Arakishvili
Zakaria Paliashvili,Johann Sebastian Bach
Zakaria Paliashvili,Meliton Balanchivadze
Zakaria Paliashvili,Wolfgang Amadeus Mozart
Theodor Leschetizky,Artur Schnabel
Theodor Leschetizky,Gaetano Donizetti
Theodor Leschetizky,Helen Hopekirk
Theodor Leschetizky,Ignacy Jan Paderewski
Theodor Leschetizky,Ossip Gabrilowitsch
Theodor Leschetizky,Simon Sechter
Theodor Leschetizky,Wolfgang Amadeus Mozart
Catharina van Rennes,Richard Hol
Catharina van Rennes,Robert Schumann
Jonathan Harvey (composer),Benjamin Britten
Jonathan Harvey (composer),Pierre Boulez
Michael Parsons (composer),Cornelius Cardew
Michael Parsons (composer),Howard Skempton
Michael Parsons (composer),John Cage
Vernon Duke,Arthur Lourié
Vernon Duke,George Gershwin
Vernon Duke,Igor Stravinsky
Vernon Duke,Reinhold Glière
Vernon Duke,Sergei Prokofiev
Kaljo Raid,Darius Milhaud
Kaljo Raid,Eduard Tubin
Kaljo Raid,Heino Eller
Calvin Hampton,César Franck
Calvin Hampton,Modest Mussorgsky
Pascal Bentoiu,Felicia Donceanu
Pascal Bentoiu,Ion Nonna Otescu
Pascal Bentoiu,Irina Odagescu
Pascal Bentoiu,Maia Ciobanu
Pascal Bentoiu,Roman Vlad
Pascal Bentoiu,Tudor Ciortea
Alexandre Eugène Cellier,Charles-Marie Widor
Alexandre Eugène Cellier,Louis Vierne
Giovanni Girolamo Kapsperger,Girolamo Frescobaldi
Giovanni Girolamo Kapsperger,Johann Jakob Froberger
François-Auguste Gevaert,Martin-Joseph Mengal
Leroy Robertson,Ernest Bloch
Juraj Filas,Antonín Dvořák
Juraj Filas,George Gershwin
Juraj Filas,Jan Zdeněk Bartoš
Juraj Filas,Jiří Pauer
Katherine Kennicott Davis,Jean-Baptiste Lully
Katherine Kennicott Davis,Johann Kuhnau
Katherine Kennicott Davis,Johann Sebastian Bach
Katherine Kennicott Davis,Nadia Boulanger
Eugen Suchoň,Arvo Pärt
Eugen Suchoň,Ferenc Farkas
Eugen Suchoň,György Kurtág
Eugen Suchoň,Henryk Górecki
Eugen Suchoň,Ján Cikker
Eugen Suchoň,Krzysztof Penderecki
Eugen Suchoň,Pancho Vladigerov
Eugen Suchoň,Pēteris Vasks
Eugen Suchoň,Theodore Antoniou
Eugen Suchoň,Vítězslav Novák
Eugen Suchoň,Zoltán Kodály
Eugen Suchoň,Ștefan Niculescu
Learmont Drysdale,Alexander Mackenzie (composer)
Franz Grill,Franz Anton Hoffmeister
Franz Grill,Joseph Haydn
Tommaso Traetta,Alessandro Scarlatti
Tommaso Traetta,Carl Heinrich Graun
Tommaso Traetta,Domenico Cimarosa
Tommaso Traetta,Francesco Durante
Tommaso Traetta,Giovanni Battista Pergolesi
Tommaso Traetta,Giovanni Paisiello
Tommaso Traetta,Jean-Philippe Rameau
Tommaso Traetta,Johann Adolph Hasse
Tommaso Traetta,Leonardo Leo
Tommaso Traetta,Leonardo Vinci
Tommaso Traetta,Niccolò Jommelli
Tommaso Traetta,Niccolò Piccinni
Ryōhei Hirose,Tomojirō Ikenouchi
Derek Bourgeois,Gustav Holst
Derek Bourgeois,Havergal Brian
Derek Bourgeois,Herbert Howells
Christoph Graupner,Georg Philipp Telemann
Christoph Graupner,George Frideric Handel
Christoph Graupner,Johann Friedrich Fasch
Christoph Graupner,Johann Kuhnau
Christoph Graupner,Johann Sebastian Bach
Christoph Graupner,Reinhard Keiser
John Blow,Giacomo Carissimi
John Blow,Henry Purcell
Malcolm Lipkin,Boris Blacher
Malcolm Lipkin,John McCabe (composer)
Reinhard Febel,Klaus Huber
Reinhard Febel,Oswald von Wolkenstein
Ernestina Lecuona y Casado,Ernesto Lecuona
Ernestina Lecuona y Casado,Leo Brouwer
Giacinto Scelsi,Arnold Schoenberg
Giacinto Scelsi,Dmitri Shostakovich
Giacinto Scelsi,Earle Brown
Giacinto Scelsi,György Ligeti
Giacinto Scelsi,Hans Zender
Giacinto Scelsi,Igor Stravinsky
Giacinto Scelsi,John Cage
Giacinto Scelsi,Krzysztof Penderecki
Giacinto Scelsi,Paul Hindemith
Giacinto Scelsi,Sergei Prokofiev
Giacinto Scelsi,Tristan Murail
Maija Einfelde,Jānis Ivanovs
Artur Schnabel,Anton Bruckner
Artur Schnabel,Arnold Schoenberg
Artur Schnabel,Carl Maria von Weber
Artur Schnabel,Eduard Erdmann
Artur Schnabel,Ernst Krenek
Artur Schnabel,Franz Liszt
Artur Schnabel,Frédéric Chopin
Artur Schnabel,Hugo Becker
Artur Schnabel,Johann Sebastian Bach
Artur Schnabel,Ludwig van Beethoven
Artur Schnabel,Ossip Gabrilowitsch
Artur Schnabel,Pablo Casals
Artur Schnabel,Paul Hindemith
Artur Schnabel,René Leibowitz
Artur Schnabel,Robert Schumann
Artur Schnabel,Sergei Rachmaninoff
Artur Schnabel,Theodor Leschetizky
Artur Schnabel,Vladimir Horowitz
Artur Schnabel,Wilhelm Furtwängler
Artur Schnabel,Wolfgang Amadeus Mozart
Edison Denisov,Alexander Knaifel
Edison Denisov,Claude Debussy
Edison Denisov,Dmitri Shostakovich
Edison Denisov,Elena Firsova
Edison Denisov,Gustav Mahler
Edison Denisov,Heinz Holliger
Edison Denisov,Igor Stravinsky
Edison Denisov,Karlheinz Stockhausen
Edison Denisov,Pierre Boulez
Edison Denisov,Sofia Gubaidulina
Edison Denisov,Tikhon Khrennikov
Edison Denisov,Vissarion Shebalin
Edison Denisov,Vyacheslav Artyomov
Vladimír Godár,Astor Piazzolla
Vladimír Godár,César Franck
Vladimír Godár,Edvard Grieg
Vladimír Godár,Georg Muffat
Vladimír Godár,Ján Levoslav Bella
Vladimír Godár,Leoš Janáček
Vladimír Godár,Tolib Shakhidi
Vladimír Godár,Vangelis
Barton McLean,Priscilla McLean
Norman Demuth,Albert Roussel
Norman Demuth,César Franck
Norman Demuth,Gordon Langford
Norman Demuth,Maurice Ravel
Ferenc Erkel,Hector Berlioz
Will Ogdon,Ernst Krenek
Will Ogdon,René Leibowitz
René Leibowitz,Allan Pettersson
René Leibowitz,Antoine Duhamel
René Leibowitz,Armin Schibler
René Leibowitz,Arnold Schoenberg
René Leibowitz,Arthur Sullivan
René Leibowitz,Bernd Alois Zimmermann
René Leibowitz,Béla Bartók
René Leibowitz,Christoph Willibald Gluck
René Leibowitz,Franco Donatoni
René Leibowitz,George Gershwin
René Leibowitz,Giacomo Puccini
René Leibowitz,Hans Ulrich Engelmann
René Leibowitz,Hans Werner Henze
René Leibowitz,Jacques Offenbach
René Leibowitz,Janet Maguire
René Leibowitz,Jean Sibelius
René Leibowitz,Johann Sebastian Bach
René Leibowitz,Johann Strauss II
René Leibowitz,Leni Alexander
René Leibowitz,Ludwig van Beethoven
René Leibowitz,Maurice Ravel
René Leibowitz,Pierre Boulez
René Leibowitz,Richard Wagner
René Leibowitz,Vinko Globokar
René Leibowitz,Will Ogdon
Marius Constant,Arthur Honegger
Marius Constant,Claude Debussy
Marius Constant,George Enescu
Marius Constant,Leonard Bernstein
Marius Constant,Maurice Ravel
Marius Constant,Nadia Boulanger
Marius Constant,Olivier Messiaen
Marius Constant,Pierre Schaeffer
Igor Stravinsky,Aaron Copland
Igor Stravinsky,Alberto Ginastera
Igor Stravinsky,Alexander Glazunov
Igor Stravinsky,Alfredo Casella
Igor Stravinsky,Antonín Dvořák
Igor Stravinsky,Aram Khachaturian
Igor Stravinsky,Arnold Schoenberg
Igor Stravinsky,Arthur Honegger
Igor Stravinsky,Arvo Pärt
Igor Stravinsky,Aulis Sallinen
Igor Stravinsky,Benjamin Britten
Igor Stravinsky,Bohuslav Martinů
Igor Stravinsky,Béla Bartók
Igor Stravinsky,Camargo Guarnieri
Igor Stravinsky,Carl Philipp Emanuel Bach
Igor Stravinsky,Carl Ruggles
Igor Stravinsky,Carlo Gesualdo
Igor Stravinsky,Charles Ives
Igor Stravinsky,Claude Debussy
Igor Stravinsky,Conlon Nancarrow
Igor Stravinsky,Darius Milhaud
Igor Stravinsky,Dmitri Shostakovich
Igor Stravinsky,Edgard Varèse
Igor Stravinsky,Elie Siegmeister
Igor Stravinsky,Erik Satie
Igor Stravinsky,Ernst Toch
Igor Stravinsky,Ferruccio Busoni
Igor Stravinsky,Gavriil Popov (composer)
Igor Stravinsky,George Enescu
Igor Stravinsky,George Gershwin
Igor Stravinsky,Georges Auric
Igor Stravinsky,Germaine Tailleferre
Igor Stravinsky,Gilberto Mendes
Igor Stravinsky,Gustav Mahler
Igor Stravinsky,György Kurtág
Igor Stravinsky,György Ligeti
Igor Stravinsky,Hans Werner Henze
Igor Stravinsky,Harrison Birtwistle
Igor Stravinsky,Heinz Holliger
Igor Stravinsky,Henri Dutilleux
Igor Stravinsky,Henry Cowell
Igor Stravinsky,Iannis Xenakis
Igor Stravinsky,Igor Markevitch
Igor Stravinsky,Jacques Calonne
Igor Stravinsky,Jean Sibelius
Igor Stravinsky,John Cage
Igor Stravinsky,Joonas Kokkonen
Igor Stravinsky,Karlheinz Stockhausen
Igor Stravinsky,Keith Jarrett
Igor Stravinsky,Krzysztof Penderecki
Igor Stravinsky,Kurt Weill
Igor Stravinsky,Leo Ornstein
Igor Stravinsky,Leonard Bernstein
Igor Stravinsky,Leoš Janáček
Igor Stravinsky,Luciano Berio
Igor Stravinsky,Luigi Nono
Igor Stravinsky,Manuel de Falla
Igor Stravinsky,Maurice Ravel
Igor Stravinsky,Michael Tippett
Igor Stravinsky,Nikolai Myaskovsky
Igor Stravinsky,Nikolai Rimsky-Korsakov
Igor Stravinsky,Nikolai Roslavets
Igor Stravinsky,Olivier Messiaen
Igor Stravinsky,Paul Hindemith
Igor Stravinsky,Pierre Boulez
Igor Stravinsky,Pyotr Ilyich Tchaikovsky
Igor Stravinsky,Richard Strauss
Igor Stravinsky,Richard Wagner
Igor Stravinsky,Roman Vlad
Igor Stravinsky,Ruth Crawford Seeger
Igor Stravinsky,Samuel Barber
Igor Stravinsky,Sergei Prokofiev
Igor Stravinsky,Sergei Taneyev
Igor Stravinsky,Sofia Gubaidulina
Igor Stravinsky,Soulima Stravinsky
Igor Stravinsky,Walter Piston
Igor Stravinsky,Wilhelm Furtwängler
Igor Stravinsky,William Walton
Igor Stravinsky,Zoltán Kodály
Karel Reiner,Alois Hába
Boris Yoffe,Wolfgang Rihm
Joshua Rosenblum,Frank Lewin
Jean-Baptiste Arban,Niccolò Paganini
Ryuichi Sakamoto,Aaron Copland
Ryuichi Sakamoto,André Previn
Ryuichi Sakamoto,Anne Dudley
Ryuichi Sakamoto,Brian Eno
Ryuichi Sakamoto,Christopher Gunning
Ryuichi Sakamoto,Claude Debussy
Ryuichi Sakamoto,Erich Wolfgang Korngold
Ryuichi Sakamoto,Gustavo Santaolalla
Ryuichi Sakamoto,John Williams
Ryuichi Sakamoto,Laurie Anderson
Ryuichi Sakamoto,Malcolm Arnold
Ryuichi Sakamoto,Maurice Jarre
Ryuichi Sakamoto,Mikis Theodorakis
Ryuichi Sakamoto,Paul McCartney
Ryuichi Sakamoto,Richard Hageman
Ryuichi Sakamoto,Richard Rodney Bennett
Ryuichi Sakamoto,Vangelis
Felix Woyrsch,Heinrich Schütz
Egidio Duni,Giovanni Battista Pergolesi
Egidio Duni,Giovanni Paisiello
Maurice Emmanuel,Charles Tournemire
Maurice Emmanuel,Claude Debussy
Maurice Emmanuel,César Franck
Maurice Emmanuel,Henri Dutilleux
Maurice Emmanuel,Léo Delibes
Maurice Emmanuel,Olivier Messiaen
Vlastimir Trajković,Olivier Messiaen
Vlastimir Trajković,Sergei Rachmaninoff
Vlastimir Trajković,Stevan Mokranjac
Vlastimir Trajković,Vasilije Mokranjac
Vlastimir Trajković,Zoran Erić
Astor Piazzolla,Alberto Ginastera
Astor Piazzolla,Béla Bartók
Astor Piazzolla,Igor Stravinsky
Astor Piazzolla,Johann Sebastian Bach
Astor Piazzolla,José Bragato
Astor Piazzolla,Lalo Schifrin
Astor Piazzolla,Leo Brouwer
Astor Piazzolla,Manos Hatzidakis
Astor Piazzolla,Maurice Ravel
Astor Piazzolla,Nadia Boulanger
Astor Piazzolla,Osvaldo Golijov
Astor Piazzolla,Sergei Rachmaninoff
Antonio da Cividale,Guillaume Dufay
Eric Mandat,Osvaldo Golijov
Eric Mandat,Pierre Boulez
Gottfried Michael Koenig,Aaron Copland
Gottfried Michael Koenig,Aldo Clementi
Gottfried Michael Koenig,Annea Lockwood
Gottfried Michael Koenig,Arnold Schoenberg
Gottfried Michael Koenig,Atli Heimir Sveinsson
Gottfried Michael Koenig,Bruno Maderna
Gottfried Michael Koenig,Charles Wuorinen
Gottfried Michael Koenig,Denis ApIvor
Gottfried Michael Koenig,Dick Raaymakers
Gottfried Michael Koenig,Diderik Wagenaar
Gottfried Michael Koenig,Earle Brown
Gottfried Michael Koenig,Ernst Krenek
Gottfried Michael Koenig,Franco Donatoni
Gottfried Michael Koenig,Guus Janssen
Gottfried Michael Koenig,György Ligeti
Gottfried Michael Koenig,Henri Pousseur
Gottfried Michael Koenig,Henryk Górecki
Gottfried Michael Koenig,Iannis Xenakis
Gottfried Michael Koenig,Jacques Calonne
Gottfried Michael Koenig,Jan Vriend
Gottfried Michael Koenig,Jean Barraqué
Gottfried Michael Koenig,John Cage
Gottfried Michael Koenig,Josef Matthias Hauer
Gottfried Michael Koenig,Juan Carlos Paz
Gottfried Michael Koenig,Jürg Baur
Gottfried Michael Koenig,Karlheinz Stockhausen
Gottfried Michael Koenig,Klaas de Vries (composer)
Gottfried Michael Koenig,Klas Torstensson
Gottfried Michael Koenig,Krzysztof Penderecki
Gottfried Michael Koenig,Louis Andriessen
Gottfried Michael Koenig,Luciano Berio
Gottfried Michael Koenig,Luigi Dallapiccola
Gottfried Michael Koenig,Luigi Nono
Gottfried Michael Koenig,Mauricio Kagel
Gottfried Michael Koenig,Michel van der Aa
Gottfried Michael Koenig,Miguel Ángel Coria
Gottfried Michael Koenig,Nikos Skalkottas
Gottfried Michael Koenig,Olivier Messiaen
Gottfried Michael Koenig,Peter Schat
Gottfried Michael Koenig,Pierre Boulez
Gottfried Michael Koenig,Pierre Mariétan
Gottfried Michael Koenig,Richard Barrett (composer)
Gottfried Michael Koenig,Tristan Keuris
Orit Wolf,Andre Hajdu
Emanuel Aloys Förster,Carl Philipp Emanuel Bach
Emanuel Aloys Förster,Daniel Hensel
Emanuel Aloys Förster,Joseph Haydn
Emanuel Aloys Förster,Louis Niedermeyer
Emanuel Aloys Förster,Ludwig van Beethoven
Emanuel Aloys Förster,Wolfgang Amadeus Mozart
Carmelo Pace,Maurice Ravel
Max Schubel,Aaron Copland
Max Schubel,Francis Thorne
Max Schubel,Henry Cowell
Max Schubel,Howard Hanson
Domenico Della-Maria,Giovanni Paisiello
Richard Strauss,Aaron Copland
Richard Strauss,Alberto Ginastera
Richard Strauss,Arnold Schoenberg
Richard Strauss,Arthur Honegger
Richard Strauss,Benjamin Britten
Richard Strauss,Béla Bartók
Richard Strauss,Carl Maria von Weber
Richard Strauss,Carl Ruggles
Richard Strauss,Charles Ives
Richard Strauss,Christoph Willibald Gluck
Richard Strauss,Claude Debussy
Richard Strauss,Conlon Nancarrow
Richard Strauss,Darius Milhaud
Richard Strauss,Dmitri Shostakovich
Richard Strauss,Edgard Varèse
Richard Strauss,Edward Elgar
Richard Strauss,Ernst Toch
Richard Strauss,Felix Mottl
Richard Strauss,Ferruccio Busoni
Richard Strauss,Franz Lachner
Richard Strauss,Gaspare Spontini
Richard Strauss,Gavriil Popov (composer)
Richard Strauss,George Gershwin
Richard Strauss,Giacomo Meyerbeer
Richard Strauss,Giacomo Puccini
Richard Strauss,Gilberto Mendes
Richard Strauss,Gustav Mahler
Richard Strauss,György Ligeti
Richard Strauss,Hans Werner Henze
Richard Strauss,Hans von Bülow
Richard Strauss,Henri Dutilleux
Richard Strauss,Henry Cowell
Richard Strauss,Iannis Xenakis
Richard Strauss,Igor Markevitch
Richard Strauss,Igor Stravinsky
Richard Strauss,Jacques Calonne
Richard Strauss,Johann Friedrich Agricola
Richard Strauss,Johann Friedrich Reichardt
Richard Strauss,Johannes Eccard
Richard Strauss,John Cage
Richard Strauss,John Williams
Richard Strauss,Karlheinz Stockhausen
Richard Strauss,Karol Szymanowski
Richard Strauss,Kurt Weill
Richard Strauss,Leo Ornstein
Richard Strauss,Leonard Bernstein
Richard Strauss,Leoš Janáček
Richard Strauss,Luciano Berio
Richard Strauss,Ludwig van Beethoven
Richard Strauss,Luigi Nono
Richard Strauss,Maurice Ravel
Richard Strauss,Michael Tippett
Richard Strauss,Nikolai Myaskovsky
Richard Strauss,Nikolai Roslavets
Richard Strauss,Olivier Messiaen
Richard Strauss,Otto Nicolai
Richard Strauss,Pierre Boulez
Richard Strauss,Richard Wagner
Richard Strauss,Robert Schumann
Richard Strauss,Ruth Crawford Seeger
Richard Strauss,Samuel Barber
Richard Strauss,Sergei Prokofiev
Richard Strauss,Walter Piston
Richard Strauss,William Walton
Richard Strauss,Wolfgang Amadeus Mozart
Hans-Hubert Schönzeler,Anton Bruckner
Hans-Hubert Schönzeler,Antonín Dvořák
Hans-Hubert Schönzeler,Carl Maria von Weber
Hans-Hubert Schönzeler,Edmund Rubbra
Hans-Hubert Schönzeler,Eugene Aynsley Goossens
Hans-Hubert Schönzeler,Joseph Haydn
Hans-Hubert Schönzeler,Ludwig van Beethoven
Hans-Hubert Schönzeler,Wilhelm Furtwängler
Hans-Hubert Schönzeler,Wolfgang Amadeus Mozart
Costin Miereanu,Arne Mellnäs
Costin Miereanu,Claus-Steffen Mahnkopf
Costin Miereanu,Daniel Lentz
Costin Miereanu,Fabio Vacchi
Costin Miereanu,György Ligeti
Costin Miereanu,Ib Nørholm
Costin Miereanu,Jan Vriend
Costin Miereanu,John McGuire (composer)
Costin Miereanu,Karlheinz Stockhausen
Costin Miereanu,Louis Andriessen
Costin Miereanu,Michel van der Aa
Costin Miereanu,Pauline Oliveros
Costin Miereanu,Peter Schat
Costin Miereanu,Richard Barrett (composer)
Costin Miereanu,Régis Campo
Costin Miereanu,Vinko Globokar
Costin Miereanu,Yannis Kyriakides
Costin Miereanu,Yoshiaki Onishi
Costin Miereanu,Șerban Nichifor
José Serebrier,Aaron Copland
Fabio Vacchi,Arne Mellnäs
Fabio Vacchi,Claus-Steffen Mahnkopf
Fabio Vacchi,Costin Miereanu
Fabio Vacchi,Daniel Lentz
Fabio Vacchi,György Ligeti
Fabio Vacchi,Ib Nørholm
Fabio Vacchi,Jan Vriend
Fabio Vacchi,John McGuire (composer)
Fabio Vacchi,Louis Andriessen
Fabio Vacchi,Luciano Berio
Fabio Vacchi,Michel van der Aa
Fabio Vacchi,Pauline Oliveros
Fabio Vacchi,Peter Schat
Fabio Vacchi,Richard Barrett (composer)
Fabio Vacchi,Régis Campo
Fabio Vacchi,Vinko Globokar
Fabio Vacchi,Wolfgang Amadeus Mozart
Fabio Vacchi,Yannis Kyriakides
Fabio Vacchi,Yoshiaki Onishi
Fabio Vacchi,Șerban Nichifor
Noël Lee,Aaron Copland
Noël Lee,Béla Bartók
Noël Lee,Charles Ives
Noël Lee,Claude Debussy
Noël Lee,Douglas Allanbrook
Noël Lee,Igor Stravinsky
Noël Lee,Ludwig van Beethoven
Noël Lee,Maurice Ravel
Noël Lee,Nadia Boulanger
Noël Lee,Walter Piston
Noël Lee,Wolfgang Amadeus Mozart
Anton Fils,Johann Stamitz
Herbert Blendinger,Franz Danzi
Herbert Blendinger,Friedrich Nietzsche
Herbert Blendinger,Gerhard Präsent
Herbert Blendinger,Graham Waterhouse
Herbert Blendinger,Paul Hindemith
Brian Cherney,Christos Hatzis
Brian Cherney,Peter Paul Koprowski
Brian Cherney,R. Murray Schafer
Evaristo Felice Dall'Abaco,Arcangelo Corelli
Evaristo Felice Dall'Abaco,Giuseppe Torelli
Jean-Michel Jarre,Karlheinz Stockhausen
Jean-Michel Jarre,Laurie Anderson
Jean-Michel Jarre,Maurice Jarre
Jean-Michel Jarre,Pierre Schaeffer
Ludwig Schuncke,Carl Maria von Weber
Ludwig Schuncke,Clara Schumann
Ludwig Schuncke,Franz Liszt
Ludwig Schuncke,Friedrich Kalkbrenner
Ludwig Schuncke,Frédéric Chopin
Ludwig Schuncke,Hector Berlioz
Ludwig Schuncke,Johann Nepomuk Hummel
Ludwig Schuncke,Johann Peter Pixis
Ludwig Schuncke,Louis Spohr
Ludwig Schuncke,Ludwig van Beethoven
Ludwig Schuncke,Robert Schumann
Ludwig Schuncke,Sigismond Thalberg
Frederic Cliffe,Arthur Sullivan
Frederic Cliffe,John Ireland (composer)
Philippe Gaubert,Albert Roussel
Philippe Gaubert,Claude Debussy
Philippe Gaubert,César Franck
Philippe Gaubert,Maurice Ravel
Felix Blumenfeld,Frédéric Chopin
Felix Blumenfeld,Karol Szymanowski
Felix Blumenfeld,Modest Mussorgsky
Felix Blumenfeld,Nikolai Rimsky-Korsakov
Felix Blumenfeld,Pyotr Ilyich Tchaikovsky
Felix Blumenfeld,Richard Wagner
Felix Blumenfeld,Vladimir Horowitz
Vinko Globokar,Arne Mellnäs
Vinko Globokar,Arnold Schoenberg
Vinko Globokar,Claus-Steffen Mahnkopf
Vinko Globokar,Costin Miereanu
Vinko Globokar,Daniel Lentz
Vinko Globokar,Fabio Vacchi
Vinko Globokar,Ib Nørholm
Vinko Globokar,Jan Vriend
Vinko Globokar,John McGuire (composer)
Vinko Globokar,Karlheinz Stockhausen
Vinko Globokar,Louis Andriessen
Vinko Globokar,Luciano Berio
Vinko Globokar,Mauricio Kagel
Vinko Globokar,Michel van der Aa
Vinko Globokar,Pauline Oliveros
Vinko Globokar,Peter Schat
Vinko Globokar,René Leibowitz
Vinko Globokar,Richard Barrett (composer)
Vinko Globokar,Régis Campo
Vinko Globokar,Salvatore Sciarrino
Vinko Globokar,Yannis Kyriakides
Vinko Globokar,Yoshiaki Onishi
Vinko Globokar,Șerban Nichifor
Tzvi Avni,Edgard Varèse
Tzvi Avni,Paul Ben-Haim
Max Stern (composer),Bart Berman
Max Stern (composer),Leonard Bernstein
Yevgeny Svetlanov,Gustav Mahler
Yevgeny Svetlanov,Nikolai Myaskovsky
Yevgeny Svetlanov,Sergei Rachmaninoff
Harold Van Heuvelen,Leonard Bernstein
Alexander Mosolov,Dmitri Shostakovich
Alexander Mosolov,Francesco Balilla Pratella
Alexander Mosolov,Leo Ornstein
Alexander Mosolov,Luigi Russolo
Alexander Mosolov,Nikolai Myaskovsky
Alexander Mosolov,Reinhold Glière
Alexander Mosolov,Roman Yakub
Marie Bigot,Antonio Salieri
Marie Bigot,Fanny Mendelssohn
Marie Bigot,Joseph Haydn
Marie Bigot,Ludwig van Beethoven
Andi Spicer,Michael Finnissy
Ivo Tijardović,Jakov Gotovac
