Josip Hatze,Pietro Mascagni
Osian Ellis,Benjamin Britten
Osian Ellis,Claude Debussy
Osian Ellis,George Frideric Handel
Osian Ellis,Guy Ropartz
Osian Ellis,Peter Maxwell Davies
Osian Ellis,Robin Holloway
Osian Ellis,William Alwyn
Osian Ellis,William Mathias
Jennifer Higdon,David Lang (composer)
Jennifer Higdon,Steven Stucky
Johannes Hieronymus Kapsberger,Girolamo Frescobaldi
Johannes Hieronymus Kapsberger,Johann Jakob Froberger
Alma Deutscher,Jörg Widmann
Alma Deutscher,Pyotr Ilyich Tchaikovsky
Alma Deutscher,Richard Strauss
Jean-Nicolas Geoffroy,Nicolas Lebègue
Helen Grime,Leonard Bernstein
Helen Grime,Oliver Knussen
Louis Niedermeyer,Emanuel Aloys Förster
Louis Niedermeyer,Gabriel Fauré
Louis Niedermeyer,Gioachino Rossini
Louis Niedermeyer,Niccolò Antonio Zingarelli
Heinrich Albert (composer),Heinrich Schütz
Heinrich Albert (composer),Johann Schein
Heinrich Albert (composer),Johann Stobäus
Heinrich Albert (composer),Johannes Eccard
Jan Vriend,Arne Mellnäs
Jan Vriend,Bart Berman
Jan Vriend,Claus-Steffen Mahnkopf
Jan Vriend,Costin Miereanu
Jan Vriend,Daniel Lentz
Jan Vriend,David Porcelijn
Jan Vriend,Fabio Vacchi
Jan Vriend,Gottfried Michael Koenig
Jan Vriend,Ib Nørholm
Jan Vriend,John McGuire (composer)
Jan Vriend,Klaas de Vries (composer)
Jan Vriend,Klas Torstensson
Jan Vriend,Louis Andriessen
Jan Vriend,Michel van der Aa
Jan Vriend,Pauline Oliveros
Jan Vriend,Peter Schat
Jan Vriend,Richard Barrett (composer)
Jan Vriend,Régis Campo
Jan Vriend,Vinko Globokar
Jan Vriend,Yannis Kyriakides
Jan Vriend,Yoshiaki Onishi
Jan Vriend,Șerban Nichifor
Wilhelm Peterson-Berger,Arnold Schoenberg
Wilhelm Peterson-Berger,Edvard Grieg
Wilhelm Peterson-Berger,Friedrich Nietzsche
Wilhelm Peterson-Berger,Richard Wagner
Cyril Scott,Claude Debussy
Cyril Scott,Eugene Aynsley Goossens
Cyril Scott,Fritz Kreisler
Cyril Scott,Igor Stravinsky
Cyril Scott,Iwan Knorr
Cyril Scott,Maurice Ravel
Cyril Scott,Richard Strauss
John Harbison,André Previn
John Harbison,Bernard Rands
John Harbison,Joan Tower
John Harbison,Peter Maxwell Davies
John Harbison,Walter Piston
Ottorino Respighi,Alfredo Casella
Ottorino Respighi,Antonio Vivaldi
Ottorino Respighi,Benedetto Marcello
Ottorino Respighi,Bernardo Pasquini
Ottorino Respighi,Claudio Monteverdi
Ottorino Respighi,Fabritio Caroso
Ottorino Respighi,Gian Francesco Malipiero
Ottorino Respighi,Gioachino Rossini
Ottorino Respighi,Giuseppe Martucci
Ottorino Respighi,Ildebrando Pizzetti
Ottorino Respighi,Jean-Baptiste Besard
Ottorino Respighi,Jean-Philippe Rameau
Ottorino Respighi,Max Bruch
Ottorino Respighi,Nikolai Rimsky-Korsakov
Ottorino Respighi,Robert Schumann
Ottorino Respighi,Salvatore Di Vittorio
Ottorino Respighi,Vincenzo Galilei
Charles Koechlin,Albert Roussel
Charles Koechlin,Arnold Schoenberg
Charles Koechlin,Catherine Murphy Urner
Charles Koechlin,Claude Debussy
Charles Koechlin,Darius Milhaud
Charles Koechlin,Eugene Aynsley Goossens
Charles Koechlin,Florent Schmitt
Charles Koechlin,Gabriel Fauré
Charles Koechlin,George Enescu
Charles Koechlin,Germaine Tailleferre
Charles Koechlin,Hector Berlioz
Charles Koechlin,Henri Sauguet
Charles Koechlin,Johann Sebastian Bach
Charles Koechlin,Jules Massenet
Charles Koechlin,Louis-Albert Bourgault-Ducoudray
Charles Koechlin,Maurice Emmanuel
Charles Koechlin,Maurice Ravel
Gerald Levinson,Olivier Messiaen
Franz Lehár,Antonín Dvořák
Dorothy Howell,Edward Elgar
Dorothy Howell,John Blackwood McEwen
Louis Spohr,Alexander Dargomyzhsky
Louis Spohr,Anton Bruckner
Louis Spohr,Bedřich Smetana
Louis Spohr,Bettina von Arnim
Louis Spohr,Carl Loewe
Louis Spohr,Carl Maria von Weber
Louis Spohr,Clara Schumann
Louis Spohr,César Franck
Louis Spohr,Daniel Auber
Louis Spohr,E. T. A. Hoffmann
Louis Spohr,Fanny Mendelssohn
Louis Spohr,Ferdinand David (musician)
Louis Spohr,Franz Liszt
Louis Spohr,Friedrich Kalkbrenner
Louis Spohr,Frédéric Chopin
Louis Spohr,Félicien David
Louis Spohr,Gabriel Fauré
Louis Spohr,Gaetano Donizetti
Louis Spohr,Gaspare Spontini
Louis Spohr,George Onslow (composer)
Louis Spohr,Giacomo Meyerbeer
Louis Spohr,Gioachino Rossini
Louis Spohr,Giuseppe Verdi
Louis Spohr,Hector Berlioz
Louis Spohr,Heinrich Marschner
Louis Spohr,Jan Václav Voříšek
Louis Spohr,Jean-Jacques Rousseau
Louis Spohr,Johann Nepomuk Hummel
Louis Spohr,José Melchor Gomis
Louis Spohr,Louis Niedermeyer
Louis Spohr,Ludwig van Beethoven
Louis Spohr,Luigi Cherubini
Louis Spohr,Modest Mussorgsky
Louis Spohr,Niccolò Paganini
Louis Spohr,Nikolai Rimsky-Korsakov
Louis Spohr,Richard Wagner
Louis Spohr,Robert Franz
Louis Spohr,Robert Schumann
Louis Spohr,Sigismond Thalberg
Louis Spohr,Stanisław Moniuszko
Louis Spohr,Vincenzo Bellini
Louis Spohr,Émile Prudent
Louis Spohr,Étienne Méhul
Prince Louis Ferdinand of Prussia (1772–1806),Franz Liszt
Prince Louis Ferdinand of Prussia (1772–1806),Ludwig van Beethoven
Pietro Locatelli,Arcangelo Corelli
Pietro Locatelli,Giovanni Battista Martini
Pietro Locatelli,Johann Georg Pisendel
Pietro Locatelli,Johann Gottlieb Graun
Pietro Locatelli,Johann Joachim Quantz
Pietro Locatelli,Niccolò Paganini
Josef Matthias Hauer,Aaron Copland
Josef Matthias Hauer,Aldo Clementi
Josef Matthias Hauer,Arnold Schoenberg
Josef Matthias Hauer,Bruno Maderna
Josef Matthias Hauer,Charles Wuorinen
Josef Matthias Hauer,Denis ApIvor
Josef Matthias Hauer,Ernst Krenek
Josef Matthias Hauer,Gottfried Michael Koenig
Josef Matthias Hauer,Henri Pousseur
Josef Matthias Hauer,Henryk Górecki
Josef Matthias Hauer,Hermann Heiss
Josef Matthias Hauer,Jacques Calonne
Josef Matthias Hauer,Jean Barraqué
Josef Matthias Hauer,John Cage
Josef Matthias Hauer,Juan Carlos Paz
Josef Matthias Hauer,Jürg Baur
Josef Matthias Hauer,Karlheinz Stockhausen
Josef Matthias Hauer,Krzysztof Penderecki
Josef Matthias Hauer,Louis Andriessen
Josef Matthias Hauer,Luciano Berio
Josef Matthias Hauer,Luigi Dallapiccola
Josef Matthias Hauer,Luigi Nono
Josef Matthias Hauer,Nikos Skalkottas
Josef Matthias Hauer,Pierre Boulez
Josef Matthias Hauer,Richard Barrett (composer)
Arthur Somervell,George Frideric Handel
Arthur Somervell,Hubert Parry
Georg Katzer,Hanns Eisler
Jāzeps Vītols,Alexander Glazunov
Jāzeps Vītols,Anatoly Lyadov
Jāzeps Vītols,Jānis Ivanovs
Jāzeps Vītols,Nikolai Myaskovsky
Jāzeps Vītols,Nikolai Rimsky-Korsakov
Jāzeps Vītols,Sergei Prokofiev
Jāzeps Vītols,Ādolfs Skulte
Peter Michael Hamel,Günter Bialas
Peter Michael Hamel,Terry Riley
Ferdinando Paer,Daniel Auber
Ferdinando Paer,Domenico Cimarosa
Ferdinando Paer,Franz Liszt
Ferdinando Paer,Frédéric Chopin
Ferdinando Paer,Gaspare Spontini
Ferdinando Paer,Gioachino Rossini
Ferdinando Paer,Giovanni Paisiello
Ferdinando Paer,Hector Berlioz
Ferdinando Paer,Ludwig van Beethoven
Charles Ives,Aaron Copland
Charles Ives,Alberto Ginastera
Charles Ives,Arnold Schoenberg
Charles Ives,Arthur Honegger
Charles Ives,Benjamin Britten
Charles Ives,Béla Bartók
Charles Ives,Carl Ruggles
Charles Ives,Conlon Nancarrow
Charles Ives,Darius Milhaud
Charles Ives,Dmitri Shostakovich
Charles Ives,Edgard Varèse
Charles Ives,Ernst Toch
Charles Ives,Ferruccio Busoni
Charles Ives,Frank Zappa
Charles Ives,Gavriil Popov (composer)
Charles Ives,George Gershwin
Charles Ives,Gian Carlo Menotti
Charles Ives,Gilberto Mendes
Charles Ives,Gustav Mahler
Charles Ives,György Ligeti
Charles Ives,Hans Werner Henze
Charles Ives,Henri Dutilleux
Charles Ives,Henry Cowell
Charles Ives,Howard Hanson
Charles Ives,Iannis Xenakis
Charles Ives,Igor Markevitch
Charles Ives,Igor Stravinsky
Charles Ives,Jacques Calonne
Charles Ives,Jean Sibelius
Charles Ives,John Cage
Charles Ives,John J. Becker
Charles Ives,Karlheinz Stockhausen
Charles Ives,Kurt Weill
Charles Ives,Leo Ornstein
Charles Ives,Leonard Bernstein
Charles Ives,Leoš Janáček
Charles Ives,Lou Harrison
Charles Ives,Luciano Berio
Charles Ives,Luigi Nono
Charles Ives,Michael Tippett
Charles Ives,Nikolai Myaskovsky
Charles Ives,Nikolai Roslavets
Charles Ives,Olivier Messiaen
Charles Ives,Pierre Boulez
Charles Ives,Richard Strauss
Charles Ives,Ruth Crawford Seeger
Charles Ives,Samuel Barber
Charles Ives,Sergei Prokofiev
Charles Ives,Walter Piston
Charles Ives,William Walton
Valentin Gheorghiu,Edvard Grieg
Valentin Gheorghiu,Franz Liszt
Valentin Gheorghiu,Frédéric Chopin
Valentin Gheorghiu,George Enescu
Valentin Gheorghiu,Ludwig van Beethoven
Valentin Gheorghiu,Paul Constantinescu
Valentin Gheorghiu,Robert Schumann
Valentin Gheorghiu,Sergei Rachmaninoff
Josef Fiala,Wolfgang Amadeus Mozart
Cornelis Dopper,Carl Reinecke
Cornelis Dopper,Claude Debussy
Cornelis Dopper,Giacomo Puccini
Cornelis Dopper,John Philip Sousa
Cornelis Dopper,Matthijs Vermeulen
Cornelis Dopper,Maurice Ravel
Cornelis Dopper,Richard Strauss
Isaac Schwartz,Dmitri Shostakovich
George Tsontakis,Chinary Ung
George Tsontakis,Franco Donatoni
George Tsontakis,György Kurtág
George Tsontakis,György Ligeti
George Tsontakis,Harrison Birtwistle
George Tsontakis,Joan Tower
George Tsontakis,Krzysztof Penderecki
George Tsontakis,Louis Andriessen
George Tsontakis,Michel van der Aa
George Tsontakis,Pierre Boulez
George Tsontakis,Stephen Hough
George Tsontakis,York Höller
Carl Friedrich Abel,Johann Adolph Hasse
Carl Friedrich Abel,Johann Sebastian Bach
Carl Friedrich Abel,Wolfgang Amadeus Mozart
Blaž Arnič,Anton Bruckner
Richard Mills (composer),Carl Vine
Richard Mills (composer),Peter Sculthorpe
Richard Mills (composer),Richard Wagner
David Horne (composer),Sergei Prokofiev
David Horne (composer),Stephen Oliver (composer)
Georges Hüe,Claude Debussy
Georges Hüe,César Franck
Georges Hüe,Gabriel Fauré
Wenchen Qin,Nicolaus A. Huber
Juan José Castro,Jacobo Ficher
Juan José Castro,Juan Carlos Paz
Juan José Castro,Willem van Otterloo
Bülent Arel,Edgard Varèse
Bülent Arel,Joël-François Durand
Narong Prangcharoen,Alexander von Zemlinsky
Philip Herschkowitz,Edison Denisov
Philip Herschkowitz,Elena Firsova
Philip Herschkowitz,Joseph Marx
Philip Herschkowitz,Sofia Gubaidulina
Philip Herschkowitz,Valentin Silvestrov
Philip Herschkowitz,Vyacheslav Artyomov
Antonio Salieri,Antonio Salieri
Antonio Salieri,Carl Maria von Weber
Antonio Salieri,Christoph Willibald Gluck
Antonio Salieri,Domenico Cimarosa
Antonio Salieri,Florian Leopold Gassmann
Antonio Salieri,Franz Liszt
Antonio Salieri,Giovanni Battista Martini
Antonio Salieri,Giovanni Paisiello
Antonio Salieri,Giuseppe Tartini
Antonio Salieri,Hector Berlioz
Antonio Salieri,Johann Nepomuk Hummel
Antonio Salieri,Joseph Weigl
Antonio Salieri,Leopold Mozart
Antonio Salieri,Ludwig van Beethoven
Antonio Salieri,Luigi Boccherini
Antonio Salieri,Nikolai Rimsky-Korsakov
Antonio Salieri,Richard Wagner
Antonio Salieri,Wolfgang Amadeus Mozart
Cornélie van Oosterzee,Clara Schumann
Cornélie van Oosterzee,Julius Röntgen
Théodore Dubois,Ambroise Thomas
Théodore Dubois,César Franck
Théodore Dubois,Florent Schmitt
Théodore Dubois,Gabriel Fauré
Théodore Dubois,Guy Ropartz
Théodore Dubois,Maurice Ravel
Théodore Dubois,Pierre de Bréville
Alfred Mendelssohn,Franz Schmidt
Alfred Mendelssohn,Joseph Marx
Junsang Bahk,György Ligeti
Junsang Bahk,John Cage
Junsang Bahk,Karlheinz Stockhausen
Junsang Bahk,Pierre Boulez
Arnold Dreyblatt,Alvin Lucier
Arnold Dreyblatt,La Monte Young
Arnold Dreyblatt,Paul Panhuysen
Arnold Dreyblatt,Pauline Oliveros
Samuel Capricornus,Antonio Bertali
Detlev Glanert,Gustav Mahler
Detlev Glanert,Hans Werner Henze
Detlev Glanert,Maurice Ravel
Detlev Glanert,Oliver Knussen
Dorothy Rudd Moore,Nadia Boulanger
Olli Kortekangas,Dieter Schnebel
Frederic Ernest Fesca,Johann Adam Hiller
Frederic Ernest Fesca,Joseph Joachim
Frederic Ernest Fesca,Louis Spohr
Jon Deak,Leonard Bernstein
Walter Braunfels,E. T. A. Hoffmann
Walter Braunfels,Felix Mottl
Walter Braunfels,Hector Berlioz
Walter Braunfels,Louis Spohr
Walter Braunfels,Richard Strauss
Walter Braunfels,Richard Wagner
Walter Braunfels,Theodor Leschetizky
Orazio Vecchi,Claudio Merulo
David Farquhar,Douglas Lilburn
Eduard Strauss,Johann Strauss I
Eduard Strauss,Johann Strauss II
Eduard Strauss,Josef Strauss
Daniel Danielis,Sébastien de Brossard
Edouard Potjes,Ferdinand Hiller
Edouard Potjes,Richard Hol
Edouard Potjes,Robert Schumann
Giacomo Carissimi,Alessandro Scarlatti
Giacomo Carissimi,Benedetto Marcello
Giacomo Carissimi,Claudio Monteverdi
Giacomo Carissimi,Emanuele d'Astorga
Giacomo Carissimi,Francesco Cavalli
Ferdinand David (musician),Alexander Dargomyzhsky
Ferdinand David (musician),Anton Bruckner
Ferdinand David (musician),Bedřich Smetana
Ferdinand David (musician),Bettina von Arnim
Ferdinand David (musician),Carl Loewe
Ferdinand David (musician),Carl Maria von Weber
Ferdinand David (musician),Clara Schumann
Ferdinand David (musician),César Franck
Ferdinand David (musician),Daniel Auber
Ferdinand David (musician),E. T. A. Hoffmann
Ferdinand David (musician),Fanny Mendelssohn
Ferdinand David (musician),Francesco Maria Veracini
Ferdinand David (musician),Franz Liszt
Ferdinand David (musician),Friedrich Kalkbrenner
Ferdinand David (musician),Frédéric Chopin
Ferdinand David (musician),Félicien David
Ferdinand David (musician),Gabriel Fauré
Ferdinand David (musician),Gaetano Donizetti
Ferdinand David (musician),Gaspare Spontini
Ferdinand David (musician),George Onslow (composer)
Ferdinand David (musician),Giacomo Meyerbeer
Ferdinand David (musician),Gioachino Rossini
Ferdinand David (musician),Giuseppe Verdi
Ferdinand David (musician),Hector Berlioz
Ferdinand David (musician),Heinrich Marschner
Ferdinand David (musician),Jan Václav Voříšek
Ferdinand David (musician),Jean-Jacques Rousseau
Ferdinand David (musician),Johann Gottlieb Goldberg
Ferdinand David (musician),Johann Sebastian Bach
Ferdinand David (musician),Joseph Joachim
Ferdinand David (musician),José Melchor Gomis
Ferdinand David (musician),Louis Niedermeyer
Ferdinand David (musician),Louis Spohr
Ferdinand David (musician),Ludwig van Beethoven
Ferdinand David (musician),Luigi Cherubini
Ferdinand David (musician),Modest Mussorgsky
Ferdinand David (musician),Niccolò Paganini
Ferdinand David (musician),Nikolai Rimsky-Korsakov
Ferdinand David (musician),Pietro Locatelli
Ferdinand David (musician),Richard Wagner
Ferdinand David (musician),Robert Franz
Ferdinand David (musician),Robert Schumann
Ferdinand David (musician),Sigismond Thalberg
Ferdinand David (musician),Stanisław Moniuszko
Ferdinand David (musician),Vincenzo Bellini
Ferdinand David (musician),Émile Prudent
Ferdinand David (musician),Étienne Méhul
Gérard Grisey,György Ligeti
Gérard Grisey,Henri Dutilleux
