x,y,index,rank,name,birthplace,lat,lon,size,country,dob,genre
183.3448536,135.7032695,1,0.00017441811420762672,Peirol,Auvergne,45.7032695,3.3448536,0.5930215883059309,France,1160,medieval
191.2558136,133.7695604,2,7.157428019950625e-05,Paolo da Firenze,Florence,43.769560399999996,11.2558136,0.24335255267832123,Italy,1355,medieval
183.236633,140.173538,3,0.00021878615749313697,Nicolas Grenon,Cambrai,50.173538,3.2366330000000003,0.7438729354766657,France,1375,medieval
185.36978,133.296482,4,0.00012099274589173851,Folquet de Marselha,Marseille,43.296482,5.36978,0.4113753360319109,France,1150,medieval
192.3333333,136.75,5,0.00010199334928433207,Oswald von Wolkenstein,Pustertal,46.75,12.333333300000001,0.34677738756672905,Italy,1370,medieval
188.0957661,139.7771297,6,0.00015271395206339168,Hildegard of Bingen,Alzey-Worms,49.7771297,8.095766099999999,0.5192274370155318,Germany,1098,medieval
185.47449,140.78419,7,7.157428019950625e-05,Johannes Brassart,Tongeren,50.78419,5.4744899999999985,0.24335255267832123,Belgium,1400,medieval
184.1514325,138.9168895,8,0.00013241241836915789,Gace Brulé,Champagne,48.9168895,4.1514324999999985,0.4502022224551368,France,1160,medieval
193.433127,136.0801447,9,7.157428019950625e-05,Antonio da Cividale,Cividale del Friuli,46.080144700000005,13.433126999999999,0.24335255267832123,Italy,1400,medieval
175.9726769,129.8628316,10,0.0008362423108400535,Alfonso X of Castile,"Toledo, Spain",39.8628316,-4.0273230999999985,2.843223856856182,Spain,1221,medieval
184.3084744,140.7669262,11,0.00086595221936507,Guillaume Dufay,Beersel,50.76692620000001,4.308474400000001,2.9442375458412378,Belgium,1390,medieval
178.1842353,137.27804680000003,12,0.00020333967604690295,Peter Abelard,Loire-Atlantique,47.27804680000001,-1.8157647000000001,0.69135489855947,France,1079,medieval
186.2080932,138.8744233,13,0.0004519198702206631,Gertrude of Dagsburg,Lorraine,48.8744233,6.2080932,1.5365275587502545,France,1190,medieval
180.7572205,135.14694859999997,14,0.00013241241836915789,Bertran de Born,Dordogne,45.14694859999999,0.7572205,0.4502022224551368,France,1140,medieval
193.69866389999999,132.6611431,15,7.157428019950625e-05,Zacara da Teramo,Teramo,42.661143100000004,13.6986639,0.24335255267832123,Italy,1400,medieval
181.444209,133.604652,16,7.157428019950625e-05,Peire Raimon de Tolosa,Toulouse,43.604652,1.444209,0.24335255267832123,France,1200,medieval
182.4146396,139.4214568,17,7.157428019950625e-05,Gautier de Dargies,Oise,49.42145679999999,2.4146396,0.24335255267832123,France,1170,medieval
170.8606634,128.7222524,18,0.0003863910226830687,Denis of Portugal,Lisbon,38.722252399999995,-9.1393366,1.3137294771224335,Portugal,1261,medieval
184.0744009,138.2973451,19,0.0008949308000376065,Theobald I of Navarre,Troyes,48.2973451,4.0744009,3.0427647201278623,France,1201,medieval
182.0195909,135.4320081,20,0.00012099274589173851,Bernart de Ventadorn,Corrèze,45.4320081,2.0195909,0.4113753360319109,France,1130,medieval
191.2558136,133.7695604,21,0.000261693461979846,Gherardello da Firenze,the Province of Florence,43.769560399999996,11.2558136,0.8897577707314764,Italy,1320,medieval
183.882936,135.042768,22,7.157428019950625e-05,Peire Cardenal,Le Puy-en-Velay,45.042768,3.882936,0.24335255267832123,France,1180,medieval
186.079758,134.559638,23,0.00012099274589173851,Albertet de Sestaro,"Gap, Hautes-Alpes",44.559638,6.079758,0.4113753360319109,France,1194,medieval
191.2558136,133.7695604,24,0.00022366962562363532,Francesco Landini,the Province of Florence,43.769560399999996,11.2558136,0.7604767271203601,Italy,1325,medieval
191.8767611,135.4064349,25,7.157428019950625e-05,Marchetto da Padova,Padua,45.4064349,11.8767611,0.24335255267832123,Italy,1300,medieval
108.5171567,132.6750898,26,0.00023399569203554988,John Dunstaple,Dunstable,42.67508979999999,-71.4828433,0.7955853529208696,USA,1390,medieval
193.05501,137.80949,27,0.0020125316819395367,Leopold Mozart,Salzburg,47.809490000000004,13.055010000000001,6.842607718594425,Austria,1719,classical
186.5389621,136.1756788,28,0.0005548248106589733,Georg Muffat,Haute-Savoie,46.17567879999999,6.5389621,1.8864043562405093,France,1653,baroque
191.342645,141.0749965,29,0.0004551770711352803,Johann Friedrich Fasch,Buttelstedt,51.074996500000005,11.342645,1.547602041859953,Germany,1688,classical
191.0766654,139.4521018,30,0.00037988186532829924,Hans Leo Hassler,Nuremberg,49.4521018,11.076665400000001,1.2915983421162174,Germany,1564,baroque
191.2558136,133.7695604,31,0.00040485475452070667,Michelagnolo Galilei,Florence,43.769560399999996,11.2558136,1.3765061653704027,Italy,1575,baroque
183.003078,133.184277,32,0.00016726426354558288,Jean-Joseph de Mondonville,Narbonne,43.184277,3.003078,0.5686984960549818,France,1711,baroque
191.0766654,139.4521018,33,0.0004242893606456884,Johann Philipp Krieger,Nuremberg,49.4521018,11.076665400000001,1.4425838261953405,Germany,1649,baroque
191.2558136,133.7695604,34,0.0005264444737698765,Francesca Caccini,Florence,43.769560399999996,11.2558136,1.7899112108175799,Italy,1587,baroque
197.0385376,141.1078852,35,7.157428019950625e-05,Ernst Gottlieb Baron,Wrocław,51.1078852,17.0385376,0.24335255267832123,Poland,1696,classical
192.3155151,135.4408474,36,0.0001786065002847998,Johannes Hieronymus Kapsberger,Venice,45.440847399999996,12.315515099999999,0.6072621009683193,Italy,1580,baroque
184.4775362,141.0258761,37,7.157428019950625e-05,Abraham van den Kerckhoven,Mechelen,51.0258761,4.4775361999999985,0.24335255267832123,Belgium,1610,baroque
